id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,Unnamed: 10,geometry
Escola Privada_1744985,Privada,Esc Part Abcd Sofia,Rua,"Otavio Pedreiro Rosa, 212",Jardim Ester,5372000,Escola Privada,-23.583367,-46.76068,,POINT (-46.76068 -23.583367)
Escola Privada_1744993,Privada,Cr P Conv Criancas Brilhantes,Rua,"Do Lageado Velho, 95",Guaianazes,8451000,Escola Privada,-23.538496,-46.407687,,POINT (-46.407687 -23.538496)
Escola Privada_1744998,Privada,Cr P Conv Docuras e Travessuras,Rua,"Doutor Luiz Branco Ribeiro, 42",Vila Iolanda II,8473420,Escola Privada,-23.579964,-46.384618,,POINT (-46.384618 -23.579964)
Escola Privada_1745002,Privada,Inova Acao Colegio,Rua,"Rua Pires da Mota, 614",Aclimacao,1529900,Escola Privada,-23.567343,-46.6345,,POINT (-46.6345 -23.567343)
Escola Privada_1745004,Privada,Esc Part Turminha do Barulho,Rua,"Antonio de Jussieu, 73",Jardim Vila Formosa,3461070,Escola Privada,-23.570149,-46.527508,,POINT (-46.527508 -23.570149)
Escola Privada_1745011,Privada,Cr P Conv Sao Pedro,Rua,"Valentim Lorenzetti, 951",Jardim Sipramar,4851370,Escola Privada,-23.74574,-46.664887,,POINT (-46.664887 -23.74574)
Escola Privada_1745020,Privada,Cr P Conv Anglicana Renata Eugenia Rodrigues - Unid IV- Morumbi,Rua,"Jose Pedro de Carvalho Lima, 333",Jardim Parque Morumbi,5712080,Escola Privada,-23.621929,-46.72965,,POINT (-46.72965 -23.621929)
Escola Privada_1745023,Privada,Esc Part Pirilampo Nucleo de Recreacao Inf,Rua,"Lacerda Franco, 259",Cambuci,1536000,Escola Privada,-23.564912,-46.622435,,POINT (-46.622435 -23.564912)
Escola Privada_1745042,Privada,Fiap Tech School,Rua,"Lins de Vasconcelos, 1264",Cambuci,1538001,Escola Privada,-23.574449,-46.62356,,POINT (-46.62356 -23.574449)
Escola Privada_1745049,Privada,Cei Indir Euclides da Cunha,Rua,"Da Costa Nova do Prado, 108",Jardim Comercial,5885190,Escola Privada,-23.672458,-46.782791,,POINT (-46.782791 -23.672458)
